ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACION,SANEAMIENTO,ELECTRIFICACION,POBLACION,COSTA,CAPITAL
220100,220000,SAN MARTIN,Moyobamba,0.6832, 95.7572 ,9.9368,83.2734,72.5388,73.4589,136414,0,1
220200,220000,SAN MARTIN,Bellavista,0.6256, 94.1988 ,7.9790,76.7049,59.9836,68.6068,55815,0,0
220300,220000,SAN MARTIN,El Dorado,0.6066, 96.8349 ,7.7403,66.9119,68.0806,58.5684,38152,0,0
220400,220000,SAN MARTIN,Huallaga,0.6600, 96.7308 ,11.4771,78.1732,74.7704,61.2204,25357,0,0
220500,220000,SAN MARTIN,Lamas,0.6051, 96.5570 ,6.3469,72.5867,61.5244,61.2970,83825,0,0
220600,220000,SAN MARTIN,Mariscal Caceres,0.6922, 96.0263 ,9.9810,85.2023,75.5526,72.7025,51489,0,0
220700,220000,SAN MARTIN,Picota,0.6884, 96.1658 ,7.8023,82.3184,73.9773,78.7176,42369,0,0
220800,220000,SAN MARTIN,Rioja,0.6672, 95.4084 ,10.3815,83.0830,58.2882,79.4966,120387,0,0
220900,220000,SAN MARTIN,San Martin,0.8285, 98.3258 ,21.3298,99.5000,85.3935,95.5041,179184,0,0
221000,220000,SAN MARTIN,Tocache,0.6456, 94.9457 ,10.5095,92.4323,43.6077,74.3133,73460,0,0
230100,230000,TACNA,Tacna,0.9104, 99.4928 ,44.7413,90.0518,95.8766,95.2144,302852,1,1
230200,230000,TACNA,Candarave,0.6521, 99.5000 ,7.1132,90.0467,40.1112,84.5340,8435,0,0
230300,230000,TACNA,Jorge Basadre,0.8487, 99.5000 ,30.0799,97.3276,83.9754,93.4183,9641,1,0
230400,230000,TACNA,Tarata,0.7414, 99.3157 ,22.5366,90.1730,68.7254,74.9025,7987,0,0
240100,240000,TUMBES,Tumbes,0.7622, 99.1184 ,18.3820,86.2661,77.6778,87.4196,159548,0,1
240200,240000,TUMBES,Contralmirante Villar,0.6659, 99.1872 ,6.6236,81.4642,59.7919,81.4494,19180,0,0
240300,240000,TUMBES,Zarumilla,0.6849, 97.4754 ,6.9758,81.2087,71.0227,81.1197,49499,0,0
250100,250000,UCAYALI,Coronel Portillo,0.6670, 97.5922 ,12.5195,85.4286,42.8511,86.7715,366040,0,1
250200,250000,UCAYALI,Atalaya,0.4245, 84.2895 ,4.5206,55.4652,13.2425,51.7253,50569,0,0
250300,250000,UCAYALI,Padre Abad,0.5023, 97.3087 ,4.4984,73.2013,13.2430,59.8946,56756,0,0
250400,250000,UCAYALI,Purus,0.4473, 91.9667 ,15.9542,51.3878,0.2351,53.4704,4251,0,0
