ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACIàN,SANEAMIENTO,ELECTRIFICACIàN
130900,130000,LA LIBERTAD,S nchez Carri¢n,0.4838, 96.2120 ,8.2730,48.1215,39.5255,44.2572
131000,130000,LA LIBERTAD,Santiago de Chuco,0.5667, 98.0769 ,11.9058,68.7819,45.5874,51.0685
131100,130000,LA LIBERTAD,Gran Chim£,0.5843, 97.0097 ,10.7215,67.2040,66.2424,43.8284
131200,130000,LA LIBERTAD,Vir£,0.6949, 98.3704 ,5.9394,74.0766,84.9306,80.1798
140100,140000,LAMBAYEQUE,Chiclayo,0.8317, 98.4564 ,25.7449,88.9529,86.0233,99.5000
140200,140000,LAMBAYEQUE,Ferre¤afe,0.6891, 96.8825 ,14.0778,73.4821,76.3114,74.4212
140300,140000,LAMBAYEQUE,Lambayeque,0.6604, 97.8990 ,8.3964,72.9188,73.0946,72.3053
150100,150000,LIMA,Lima,0.8999, 99.3591 ,38.3657,89.5797,97.5604,99.5000
150200,150000,LIMA,Barranca,0.8118, 99.2950 ,21.4062,83.9918,96.9944,89.9645
150300,150000,LIMA,Cajatambo,0.6624, 97.7730 ,16.2382,78.1014,51.6375,76.6230
150400,150000,LIMA,Canta,0.6628, 98.6936 ,29.0179,76.8965,39.9944,67.4349
150500,150000,LIMA,Ca¤ete,0.7697, 99.5034 ,16.3725,86.2599,86.3501,85.4381
150600,150000,LIMA,Huaral,0.7770, 99.0524 ,17.7469,84.0086,85.1771,90.6684
150700,150000,LIMA,Huarochir¡,0.7134, 99.0322 ,16.2867,81.9827,73.6597,74.8972
150800,150000,LIMA,Huaura,0.7884, 99.4633 ,22.0320,84.1302,85.1470,88.7237
150900,150000,LIMA,Oy¢n,0.7104, 99.0082 ,9.4051,77.9139,77.8538,84.7600
151000,150000,LIMA,Yauyos,0.6657, 98.4199 ,14.4953,83.6558,52.3377,74.2986
160100,160000,LORETO,Maynas,0.6779, 95.9809 ,12.4254,79.0188,57.2983,85.9357
160200,160000,LORETO,Alto Amazonas,0.5685, 94.0398 ,10.8140,61.7112,44.4909,66.0007
160300,160000,LORETO,Loreto,0.5070, 89.8845 ,6.2437,60.1239,32.4640,60.6210
160400,160000,LORETO,Mariscal Ram¢n Castilla,0.4707, 91.3034 ,4.5533,55.2372,23.2198,58.0174
160500,160000,LORETO,Requena,0.5378, 92.4981 ,4.9098,64.9070,27.0976,76.2223
160600,160000,LORETO,Ucayali,0.5572, 90.6369 ,4.5009,71.0551,33.5148,75.8978
160700,160000,LORETO,Datem del Mara¤¢n,0.4295, 81.9682 ,4.7538,44.0338,32.0778,48.7369
170100,170000,MADRE DE DIOS,Tambopata,0.8027, 99.2041 ,26.2887,86.1364,84.2227,87.9527
170200,170000,MADRE DE DIOS,Man£,0.5941, 93.5355 ,12.1582,81.1164,37.0703,65.0632
170300,170000,MADRE DE DIOS,Tahuaman£,0.7263, 99.5000 ,27.4945,82.3381,56.4859,79.0064
180100,180000,MOQUEGUA,Mariscal Nieto,0.8263, 99.4366 ,26.9476,94.0548,80.8463,93.9171
180200,180000,MOQUEGUA,General S nchez Cerro,0.6417, 98.8706 ,13.2708,86.5558,38.3928,74.9002
180300,180000,MOQUEGUA,Ilo,0.8504, 99.5000 ,21.2476,91.3031,99.5000,99.5000
190100,190000,PASCO,Pasco,0.7169, 99.5000 ,10.7282,94.3146,58.5859,88.1771
190200,190000,PASCO,Daniel A. Carri¢n,0.6271, 99.5000 ,4.6297,95.0075,41.9339,69.4167
190300,190000,PASCO,Oxapampa,0.5744, 94.7617 ,12.5667,65.4202,42.7355,63.3166
200100,200000,PIURA,Piura,0.7426, 98.5621 ,15.3145,89.0860,77.9517,80.1926
200200,200000,PIURA,Ayabaca,0.5102, 94.8213 ,3.6732,60.0579,51.9557,42.1461
200300,200000,PIURA,Huancabamba,0.5334, 94.1863 ,5.6703,65.4099,56.4812,41.1786
200400,200000,PIURA,Morrop¢n,0.6653, 97.1181 ,7.3392,80.9296,67.5797,74.8067
200500,200000,PIURA,Paita,0.7154, 99.2638 ,6.7769,85.3579,76.5216,85.2715
200600,200000,PIURA,Sullana,0.7548, 97.9271 ,12.9206,91.7215,78.0363,88.1845
200700,200000,PIURA,Talara,0.8082, 99.0036 ,17.2074,97.9404,84.5123,93.9844
200800,200000,PIURA,Sechura,0.6745, 97.9712 ,5.9599,79.8400,72.3870,77.1370
210100,210000,PUNO,Puno,0.7483, 98.9834 ,18.5388,93.5960,64.1132,86.5741
210200,210000,PUNO,Az ngaro,0.5716, 98.7557 ,2.9063,81.0440,39.6135,61.5461
210300,210000,PUNO,Carabaya,0.6022, 98.2289 ,4.6188,74.6275,52.4479,68.1171
210400,210000,PUNO,Chucuito,0.6036, 98.6818 ,3.6953,88.2616,37.3401,71.3466
210500,210000,PUNO,El Collao,0.6141, 99.4070 ,4.2362,92.4920,34.7087,73.3596
210600,210000,PUNO,Huancan‚,0.5866, 98.5900 ,6.4200,86.7475,33.6600,63.5913
210700,210000,PUNO,Lampa,0.5839, 99.3094 ,5.6917,83.7246,39.5906,59.8291
210800,210000,PUNO,Melgar,0.6322, 99.0987 ,6.0440,81.0894,60.8358,65.0074
210900,210000,PUNO,Moho,0.6098, 98.1119 ,2.5980,83.4812,45.2047,73.7554
211000,210000,PUNO,San Antonio de Putina,0.5691, 98.8164 ,2.6400,88.4295,29.5768,63.3287
211100,210000,PUNO,San Rom n,0.7813, 99.0267 ,15.5070,94.0194,72.2405,99.5000
211200,210000,PUNO,Sandia,0.6152, 98.5936 ,6.4219,84.2576,50.2309,63.8324
211300,210000,PUNO,Yunguyo,0.6807, 98.3785 ,6.8712,87.1140,52.7099,90.6861
220100,220000,SAN MARTÖN,Moyobamba,0.6832, 95.7572 ,9.9368,83.2734,72.5388,73.4589
220200,220000,SAN MARTÖN,Bellavista,0.6256, 94.1988 ,7.9790,76.7049,59.9836,68.6068
220300,220000,SAN MARTÖN,El Dorado,0.6066, 96.8349 ,7.7403,66.9119,68.0806,58.5684
220400,220000,SAN MARTÖN,Huallaga,0.6600, 96.7308 ,11.4771,78.1732,74.7704,61.2204
220500,220000,SAN MARTÖN,Lamas,0.6051, 96.5570 ,6.3469,72.5867,61.5244,61.2970
220600,220000,SAN MARTÖN,Mariscal C ceres,0.6922, 96.0263 ,9.9810,85.2023,75.5526,72.7025
220700,220000,SAN MARTÖN,Picota,0.6884, 96.1658 ,7.8023,82.3184,73.9773,78.7176
220800,220000,SAN MARTÖN,Rioja,0.6672, 95.4084 ,10.3815,83.0830,58.2882,79.4966
220900,220000,SAN MARTÖN,San Mart¡n,0.8285, 98.3258 ,21.3298,99.5000,85.3935,95.5041
221000,220000,SAN MARTÖN,Tocache,0.6456, 94.9457 ,10.5095,92.4323,43.6077,74.3133
230100,230000,TACNA,Tacna,0.9104, 99.4928 ,44.7413,90.0518,95.8766,95.2144
230200,230000,TACNA,Candarave,0.6521, 99.5000 ,7.1132,90.0467,40.1112,84.5340
230300,230000,TACNA,Jorge Basadre,0.8487, 99.5000 ,30.0799,97.3276,83.9754,93.4183
230400,230000,TACNA,Tarata,0.7414, 99.3157 ,22.5366,90.1730,68.7254,74.9025
240100,240000,TUMBES,Tumbes,0.7622, 99.1184 ,18.3820,86.2661,77.6778,87.4196
240200,240000,TUMBES,Contralmirante Villar,0.6659, 99.1872 ,6.6236,81.4642,59.7919,81.4494
240300,240000,TUMBES,Zarumilla,0.6849, 97.4754 ,6.9758,81.2087,71.0227,81.1197
250100,250000,UCAYALI,Coronel Portillo,0.6670, 97.5922 ,12.5195,85.4286,42.8511,86.7715
250200,250000,UCAYALI,Atalaya,0.4245, 84.2895 ,4.5206,55.4652,13.2425,51.7253
250300,250000,UCAYALI,Padre Abad,0.5023, 97.3087 ,4.4984,73.2013,13.2430,59.8946
250400,250000,UCAYALI,Pur£s,0.4473, 91.9667 ,15.9542,51.3878,0.2351,53.4704
